Longitude;Lattitude;nom;num_station;street;Mot_Directeur;No;Nrivoli;code_insee
43.6152178;1.465458913;CRETES CHAUMIERES;212;RUE DE LA CHAUMIERE;CHAUMIERE (RUE DE LA CHAUMIERE);0;3105551989;31555
43.57457116;1.402137041;TABAR UNIVERSITE;220;RUE UNIVERSITE DU MIRAIL;MIRAIL (RUE UNIVERSITE DU MIRAIL);3;3105558666;31555
43.57149046;1.462698767;IUT RANGUEIL;229;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);129;3105557268;31555
43.63558441;1.464267012;CROIX DAURADE BIBLIOTHEQUE;170;CHE DE NICOL;NICOL (CHE DE NICOL);164;3105556262;31555
43.57510862;1.424238269;ESPAGNE CHARPENTIER;241;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);57;3105553064;31555
43.57391975;1.483922568;GONIN;267;RUE CLAUDE GONIN;GONIN (RUE CLAUDE GONIN);;;31555
43.5736944;1.413988102;TOURAINE;266;RUE DE LA TOURAINE;TOURAINE (RUE DE LA TOURAINE);;;31555
43.60656215;1.414147613;WAGNER;282;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);;3105557468;31555
43.5837779;1.406415312;PLACE CAMPAN;254;PL LOUIS CAMPAN;CAMPAN (PL LOUIS CAMPAN);;;31555
43.60163093;1.456081339;DAURIAC - ESCANDE;42;BD PR LEOPOLD ESCANDE;ESCANDE (BD PR LEOPOLD ESCANDE);3;3105557151;31555
43.60407912;1.450153688;CARNOT - LABEDA;21;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);63;3105555132;31555
43.59989331;1.429467488;JARDIN RAYMOND VI;81;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);76;3105551920;31555
43.60507826;1.437314133;VALADE;29;RUE VALADE;VALADE (RUE VALADE);31;3105558676;31555
43.61039681;1.443084503;MERLY -  ARCOLE;57;RUE MERLY;MERLY (RUE MERLY);15;3105555896;31555
43.6046781;1.449528282;CARNOT -  TROIS JOURNEES;20;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;3105555132;31555
43.59741756;1.445277931;PLACE DES CARMES;46;PL DES CARMES;CARMES (PL DES CARMES);37;3105551708;31555
43.60785839;1.446666243;STRASBOURG  -  BAYARD;16;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);32;3105558328;31555
43.59631476;1.43214374;FITTE - TEINTURIERS;73;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);40;3105551920;31555
43.59967605;1.429371356;FITTE - VARSI;80;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);89B;3105551920;31555
43.59430625;1.448822095;MUSEUM;67;ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);35;3105554812;31555
43.59856446;1.435050053;REPUBLIQUE - PLACE OLIVIER;76;RUE DE LA REPUBLIQUE;REPUBLIQUE (RUE DE LA REPUBLIQUE);34;3105557428;31555
43.60270207;1.454448399;ST AUBIN  - CAMICHEL;41;RUE CHARLES CAMICHEL;CAMICHEL (RUE CHARLES CAMICHEL);1;3105551560;31555
43.6074362;1.444653926;PERIGORD;14;RUE DE PERIGORD;PERIGORD (RUE DE PERIGORD);26;3105556756;31555
43.60613632;1.441350648;LOIS -  ESQUILE;13;RUE DE L ESQUILE;ESQUILE (RUE DE L ESQUILE);1;3105553080;31555
43.61459653;1.443537635;PRINTEMPS - INGRES;93;RUE DU PRINTEMPS;PRINTEMPS (RUE DU PRINTEMPS);57;3105557140;31555
43.61315078;1.441337036;CHALETS;92;RUE DES CHALETS;CHALETS (RUE DES CHALETS);31;3105551852;31555
43.61387686;1.451488092;SEMARD -  GARE ROUTIERE;94;BD PIERRE SEMARD;SEMARD (BD PIERRE SEMARD);73;3105556916;31555
43.60418433;1.445404975;POIDS DE L'HUILE;1;RUE DU POIDS DE L HUILE;HUILE (RUE DU POIDS DE L HUILE);12;3105556972;31555
43.59325998;1.435062628;COURS DILLON;71;RUE LAGANNE;LAGANNE (RUE LAGANNE);3;3105554948;31555
43.60561867;1.434492559;DUPORTAL - CANAL DE BRIENNE;51;BD ARMAND DUPORTAL;DUPORTAL (BD ARMAND DUPORTAL);1;3105550492;31555
43.62297445;1.434450429;MINIMES - BAQUE;132;AV DES MINIMES;MINIMES (AV DES MINIMES);101;3105555956;31555
43.58994544;1.432193517;MURET -  BARTHERE;104;AV DE MURET;MURET (AV DE MURET);223B;3105556160;31555
43.60272299;1.442032234;SAINTE URSULE;4;RUE SAINTE URSULE;URSULE (RUE SAINTE URSULE);19;3105558076;31555
43.60200113;1.414843016;FONTAINES MILHES;136;RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);190;3105553380;31555
43.5917191;1.418630106;EMILE MALE;140;PL EMILE MALE;MALE (PL EMILE MALE);4;3105552988;31555
43.58787256;1.42458263;DEODAT DE SEVERAC;142;BD DEODAT DE SEVERAC;SEVERAC (BD DEODAT DE SEVERAC);52;3105552600;31555
43.58734725;1.417903774;METRO FONTAINE LESTANG;141;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);239;3105554140;31555
43.58167218;1.413635755;DESBALS SAINTONGE;143;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);145;3105554140;31555
43.61389595;1.425012909;GOUNOD GARROS;145;RUE CHARLES GOUNOD;GOUNOD (RUE CHARLES GOUNOD);27;3105551940;31555
43.61560262;1.428363742;SANG DE SERP DAGNAUX;146;CHE DU SANG DE SERP;SERP (CHE DU SANG DE SERP);57;3105558132;31555
43.62462227;1.443119097;CURIE NEGRENEYS;151;BD PIERRE ET MARIE CURIE;CURIE (BD PIERRE ET MARIE CURIE);27;3105556880;31555
43.61539655;1.448581542;RAISIN;149;CHE DU RAISIN;RAISIN (CHE DU RAISIN);2;3105557248;31555
